x,z,t,T,x_norm,z_norm,t_norm,T_norm
1.0,0.0,0.0,20.0,0.3333333333333333,0.0,0.0,0.0
1.0,0.0,5.01,20.0,0.3333333333333333,0.0,0.00835,0.0
1.0,0.0,10.0,20.2,0.3333333333333333,0.0,0.016666666666666666,0.000366300366300365
1.0,0.0,15.0,20.5,0.3333333333333333,0.0,0.025,0.0009157509157509158
1.0,0.0,20.0,20.9,0.3333333333333333,0.0,0.03333333333333333,0.0016483516483516457
1.0,0.0,25.0,21.6,0.3333333333333333,0.0,0.041666666666666664,0.002930402930402933
1.0,0.0,30.0,22.0,0.3333333333333333,0.0,0.05,0.003663003663003663
1.0,0.0,35.0,22.4,0.3333333333333333,0.0,0.058333333333333334,0.004395604395604393
1.0,0.0,40.0,22.6,0.3333333333333333,0.0,0.06666666666666667,0.004761904761904765
1.0,0.0,45.0,22.9,0.3333333333333333,0.0,0.075,0.005311355311355309
1.0,0.0,50.0,23.4,0.3333333333333333,0.0,0.08333333333333333,0.006227106227106225
1.0,0.0,55.0,24.5,0.3333333333333333,0.0,0.09166666666666666,0.008241758241758242
1.0,0.0,60.0,25.3,0.3333333333333333,0.0,0.1,0.009706959706959709
1.0,0.0,65.0,25.5,0.3333333333333333,0.0,0.10833333333333334,0.010073260073260074
1.0,0.0,70.0,25.6,0.3333333333333333,0.0,0.11666666666666667,0.01025641025641026
1.0,0.0,75.0,25.9,0.3333333333333333,0.0,0.125,0.010805860805860804
1.0,0.0,80.0,26.0,0.3333333333333333,0.0,0.13333333333333333,0.01098901098901099
1.0,0.0,85.0,26.5,0.3333333333333333,0.0,0.14166666666666666,0.011904761904761904
1.0,0.0,90.0,26.7,0.3333333333333333,0.0,0.15,0.012271062271062269
1.0,0.0,95.0,26.8,0.3333333333333333,0.0,0.15833333333333333,0.012454212454212455
1.0,0.0,100.0,27.1,0.3333333333333333,0.0,0.16666666666666666,0.013003663003663006
1.0,0.0,105.0,27.5,0.3333333333333333,0.0,0.175,0.013736263736263736
1.0,0.0,110.0,27.6,0.3333333333333333,0.0,0.18333333333333332,0.013919413919413922
1.0,0.0,115.0,27.8,0.3333333333333333,0.0,0.19166666666666668,0.014285714285714287
1.0,0.0,120.0,27.9,0.3333333333333333,0.0,0.2,0.014468864468864466
1.0,0.0,125.0,28.2,0.3333333333333333,0.0,0.20833333333333334,0.015018315018315017
1.0,0.0,130.0,28.7,0.3333333333333333,0.0,0.21666666666666667,0.015934065934065933
1.0,0.0,135.0,28.8,0.3333333333333333,0.0,0.225,0.01611721611721612
1.0,0.0,140.0,29.2,0.3333333333333333,0.0,0.23333333333333334,0.01684981684981685
1.0,0.0,145.0,29.4,0.3333333333333333,0.0,0.24166666666666667,0.017216117216117214
1.0,0.0,150.0,29.3,0.3333333333333333,0.0,0.25,0.017032967032967035
1.0,0.0,155.0,29.5,0.3333333333333333,0.0,0.25833333333333336,0.0173992673992674
1.0,0.0,160.0,29.7,0.3333333333333333,0.0,0.26666666666666666,0.017765567765567765
1.0,0.0,165.0,30.1,0.3333333333333333,0.0,0.275,0.018498168498168502
1.0,0.0,170.0,30.3,0.3333333333333333,0.0,0.2833333333333333,0.018864468864468867
1.0,0.0,175.0,30.3,0.3333333333333333,0.0,0.2916666666666667,0.018864468864468867
1.0,0.0,180.0,30.8,0.3333333333333333,0.0,0.3,0.019780219780219783
1.0,0.0,185.0,31.2,0.3333333333333333,0.0,0.30833333333333335,0.020512820512820513
1.0,0.0,190.0,31.7,0.3333333333333333,0.0,0.31666666666666665,0.02142857142857143
1.0,0.0,195.0,32.1,0.3333333333333333,0.0,0.325,0.022161172161172162
1.0,0.0,200.0,32.2,0.3333333333333333,0.0,0.3333333333333333,0.022344322344322348
1.0,0.0,205.0,33.4,0.3333333333333333,0.0,0.3416666666666667,0.024542124542124538
